Year,Location,Bedrooms,Property_type,Rent,District
2008,"Crumlin, Dublin 12",Three bed,Semi detached house,1367.05,D12
2008,"Drimnagh, Dublin 12",Three bed,Semi detached house,1292.62,D12
2008,"Kimmage, Dublin 12",Three bed,Semi detached house,1423.65,D12
2008,Dublin 13,Three bed,Semi detached house,1317.94,D13
2008,Dublin 14,Three bed,Semi detached house,1615.7,D14
2008,"Churchtown, Dublin 14",Three bed,Semi detached house,1620.71,D14
2008,"Clonskeagh, Dublin 14",Three bed,Semi detached house,1686.19,D14
2008,"Dundrum, Dublin 14",Three bed,Semi detached house,1679.39,D14
2008,"Rathfarnham, Dublin 14",Three bed,Semi detached house,1390.05,D14
2008,Dublin 15,Three bed,Semi detached house,1235.16,D15
2008,"Blanchardstown, Dublin 15",Three bed,Semi detached house,1220.8,D15
2008,"Castleknock, Dublin 15",Three bed,Semi detached house,1263.51,D15
2008,"Clonee, Dublin 15",Three bed,Semi detached house,1221.06,D15
2008,"Clonsilla, Dublin 15",Three bed,Semi detached house,1237.59,D15
2008,"Mulhuddart, Dublin 15",Three bed,Semi detached house,1155.75,D15
2008,Dublin 16,Three bed,Semi detached house,1383.67,D16
2008,"Ballinteer, Dublin 16",Three bed,Semi detached house,1362.66,D16
2008,"Dundrum, Dublin 16",Three bed,Semi detached house,1608.18,D16
2008,"Knocklyon, Dublin 16",Three bed,Semi detached house,1342.94,D16
2008,"Rathfarnham, Dublin 16",Three bed,Semi detached house,1403.08,D16
2008,Dublin 18,Three bed,Semi detached house,1460.41,D18
2008,"Cabinteely, Dublin 18",Three bed,Semi detached house,1365.74,D18
2008,"Leopardstown, Dublin 18",Three bed,Semi detached house,1495.22,D18
2008,"Sandyford, Dublin 18",Three bed,Semi detached house,1433.82,D18
2008,Dublin 20,Three bed,Semi detached house,1279.9,D20
2008,"Palmerstown, Dublin 20",Three bed,Semi detached house,1252.61,D20
2008,Dublin 24,Three bed,Semi detached house,1255.9,D24
2008,"Firhouse, Dublin 24",Three bed,Semi detached house,1280.6,D24
2008,"Tallaght, Dublin 24",Three bed,Semi detached house,1240.54,D24
2008,"Balbriggan, Dublin",Three bed,Terrace house,1138.09,D1
2008,"Blackrock, Dublin",Three bed,Terrace house,1598.02,D18
2008,"Lucan, Dublin",Three bed,Terrace house,1265.16,D20
2008,"Malahide, Dublin",Three bed,Terrace house,1618.42,D17
2008,"Swords, Dublin",Three bed,Terrace house,1274.08,D17
2008,Dublin 2,Three bed,Terrace house,1861.58,D2
2008,Dublin 3,Three bed,Terrace house,1475.46,D3
2008,"Clontarf, Dublin 3",Three bed,Terrace house,1637.69,D3
2008,"Drumcondra, Dublin 3",Three bed,Terrace house,1483.88,D3
2008,Dublin 4,Three bed,Terrace house,1999.96,D4
2008,"Ballsbridge, Dublin 4",Three bed,Terrace house,1972.8,D4
2008,"Donnybrook, Dublin 4",Three bed,Terrace house,1957.26,D4
2008,"Sandymount, Dublin 4",Three bed,Terrace house,2172.55,D4
2008,Dublin 5,Three bed,Terrace house,1349.35,D5
2008,"Artane, Dublin 5",Three bed,Terrace house,1276.92,D5
2008,"Raheny, Dublin 5",Three bed,Terrace house,1374.2,D5
2008,Dublin 6,Three bed,Terrace house,1855.04,D6
2008,"Harolds Cross, Dublin 6",Three bed,Terrace house,1399.56,D6
2008,"Ranelagh, Dublin 6",Three bed,Terrace house,1989.86,D6
2008,"Rathgar, Dublin 6",Three bed,Terrace house,1815.91,D6
2008,Dublin 6W,Three bed,Terrace house,1437.42,D6W
2008,"Harolds Cross, Dublin 6W",Three bed,Terrace house,1405.52,D6W
2008,"Terenure, Dublin 6W",Three bed,Terrace house,1469.29,D6W
2008,Dublin 7,Three bed,Terrace house,1385.09,D7
2008,"Cabra, Dublin 7",Three bed,Terrace house,1256.94,D7
2008,Dublin 8,Three bed,Terrace house,1496.62,D8
2008,Dublin 9,Three bed,Terrace house,1376.76,D9
2008,"Drumcondra, Dublin 9",Three bed,Terrace house,1489.09,D9
2008,"Glasnevin, Dublin 9",Three bed,Terrace house,1335.99,D9
2008,Dublin 11,Three bed,Terrace house,1249.65,D11
2008,"Finglas, Dublin 11",Three bed,Terrace house,1205.83,D11
2008,Dublin 12,Three bed,Terrace house,1304.18,D12
